x,y,cluster,trend,value,set,residual
199.0,0.0,0,-192.55284763831878,,0,
0.0,1.0,0,521.180004531052,,0,
1.0,1.0,0,533.1933335559443,,0,
2.0,1.0,0,544.5178325525485,,0,
3.0,1.0,0,551.4468066683039,621.134468,1,69.68766133169606
4.0,1.0,0,549.7599602297414,,0,
5.0,1.0,0,535.1625835951418,,0,
6.0,1.0,0,504.40442217700183,,0,
7.0,1.0,0,453.68951730569825,682.988364,1,229.2988466943018
8.0,1.0,0,380.0110978933517,,0,
9.0,1.0,0,293.52923965035006,,0,
10.0,1.0,0,201.1937418996822,,0,
11.0,1.0,0,108.8243727623485,93.67507,1,-15.149302762348498
12.0,1.0,0,22.48646922619082,,0,
13.0,1.0,0,-52.262989674694836,,0,
14.0,1.0,0,-113.2873007117305,,0,
15.0,1.0,0,-161.52787600969896,-363.506878,1,-201.97900199030101
16.0,1.0,0,-198.46727267489769,,0,
17.0,1.0,0,-225.61371206725016,,0,
18.0,1.0,0,-246.5992735400796,,0,
19.0,1.0,0,-265.3122604829259,-245.055466,1,20.256794482925926
20.0,1.0,0,-285.82130158669315,,0,
21.0,1.0,0,-311.004058489576,,0,
22.0,1.0,0,-340.07480345503427,,0,
23.0,1.0,0,-371.0139173353091,-368.544611,1,2.4693063353091134
24.0,1.0,0,-401.2116601918824,,0,
25.0,1.0,0,-427.99964130762964,,0,
26.0,1.0,0,-449.0754573671147,,0,
27.0,1.0,0,-462.1321502432693,-494.400102,1,-32.267951756730724
28.0,1.0,0,-464.51927127921954,,0,
29.0,1.0,0,-455.70201311050914,,0,
30.0,1.0,0,-436.0645640012808,,0,
31.0,1.0,0,-407.9577810415067,-395.289621,1,12.668160041506667
32.0,1.0,0,-375.70116951398086,,0,
33.0,1.0,0,-344.6174239688553,,0,
34.0,1.0,0,-319.62234870763496,,0,
35.0,1.0,0,-306.60444974247366,-157.078666,1,149.52578374247366
36.0,1.0,0,-311.58759721228853,,0,
37.0,1.0,0,-331.5606510057114,,0,
38.0,1.0,0,-364.12448880262673,,0,
39.0,1.0,0,-405.8399215375539,-453.353661,1,-47.5137394624461
40.0,1.0,0,-452.009533825214,,0,
41.0,1.0,0,-500.575032904977,,0,
42.0,1.0,0,-549.9818956146482,,0,
43.0,1.0,0,-600.5355162981432,-530.259884,1,70.27563229814314
44.0,1.0,0,-653.7801585090347,,0,
45.0,1.0,0,-706.4102846910246,,0,
46.0,1.0,0,-754.1340860277414,,0,
47.0,1.0,0,-792.1994789789896,-902.332336,1,-110.13285702101041
48.0,1.0,0,-818.1963980876608,,0,
49.0,1.0,0,-835.9191734273918,,0,
50.0,1.0,0,-846.4327121437527,,0,
51.0,1.0,0,-848.9205523671117,-887.283703,1,-38.36315063288828
52.0,1.0,0,-841.8563675268088,,0,
53.0,1.0,0,-826.6712660550838,,0,
54.0,1.0,0,-805.9092305514496,,0,
55.0,1.0,0,-781.8022528706351,-807.936082,1,-26.133829129364926
56.0,1.0,0,-752.7918871500297,,0,
57.0,1.0,0,-718.0002897765953,,0,
58.0,1.0,0,-676.9886261988431,,0,
59.0,1.0,0,-629.741493978072,-677.388051,1,-47.64655702192806
60.0,1.0,0,-575.7840322171105,,0,
61.0,1.0,0,-516.8147940515773,,0,
62.0,1.0,0,-453.3701617352199,,0,
63.0,1.0,0,-384.4667659748811,-538.058448,1,-153.59168202511887
64.0,1.0,0,-307.26492034154944,,0,
65.0,1.0,0,-227.30557751923334,,0,
66.0,1.0,0,-147.04339519119821,,0,
67.0,1.0,0,-65.61864152981434,-193.617908,1,-127.99926647018566
68.0,1.0,0,19.38255998666864,,0,
69.0,1.0,0,109.50409816985484,,0,
70.0,1.0,0,202.33154273685068,,0,
71.0,1.0,0,293.3085483631585,201.262991,1,-92.04555736315848
72.0,1.0,0,376.43680747796316,,0,
73.0,1.0,0,443.89020673709456,,0,
74.0,1.0,0,485.49980114016216,,0,
75.0,1.0,0,491.94674313953146,1039.674493,1,547.7277498604685
76.0,1.0,0,463.77186283119954,,0,
77.0,1.0,0,404.70618303795345,,0,
78.0,1.0,0,323.6017229997087,,0,
79.0,1.0,0,229.83330513408873,221.533581,1,-8.299724134088734
80.0,1.0,0,131.68423762865132,,0,
81.0,1.0,0,35.646129052736796,,0,
82.0,1.0,0,-53.659073605260346,,0,
