x,y,cluster,trend,value,set,residual
123.0,0.0,0,-214.64445758285,,0,
124.0,0.0,0,-203.56025438511278,-467.913713,1,-264.3534586148872
125.0,0.0,0,-188.40900618571322,,0,
126.0,0.0,0,-171.4936411299277,,0,
127.0,0.0,0,-152.33534655661788,,0,
128.0,0.0,0,-130.2702622745419,-536.922796,1,-406.65253372545806
129.0,0.0,0,-109.19334203889593,,0,
130.0,0.0,0,-91.89197522372706,,0,
131.0,0.0,0,-77.27829996845685,,0,
132.0,0.0,0,-63.13031015312299,-100.3713,1,-37.240989846877014
133.0,0.0,0,-51.46708308788948,,0,
134.0,0.0,0,-44.50049965293147,,0,
135.0,0.0,0,-43.425391758210026,,0,
136.0,0.0,0,-50.56706730090082,194.130635,1,244.69770230090083
137.0,0.0,0,-71.12181307806168,,0,
138.0,0.0,0,-96.82539894757792,,0,
139.0,0.0,0,-122.29242912656628,,0,
140.0,0.0,0,-144.0874732939992,-80.460222,1,63.62725129399921
141.0,0.0,0,-160.65082883974537,,0,
142.0,0.0,0,-168.79703766934108,,0,
143.0,0.0,0,-168.57975867966888,,0,
144.0,0.0,0,-163.80951336806174,54.862272,1,218.67178536806173
145.0,0.0,0,-162.4297723735217,,0,
146.0,0.0,0,-161.5063866614364,,0,
147.0,0.0,0,-161.67802991624922,,0,
148.0,0.0,0,-165.45213854138274,-192.881905,1,-27.42976645861725
149.0,0.0,0,-175.4720757440664,,0,
150.0,0.0,0,-195.61562015721574,,0,
151.0,0.0,0,-228.0502224653028,,0,
152.0,0.0,0,-272.0036111685913,-154.18491,1,117.8187011685913
153.0,0.0,0,-323.6993969057221,,0,
154.0,0.0,0,-378.1039915466681,,0,
155.0,0.0,0,-430.4478651152458,,0,
156.0,0.0,0,-477.4548315485008,-425.328445,1,52.12638654850082
157.0,0.0,0,-517.3551218560897,,0,
158.0,0.0,0,-546.5342510030605,,0,
159.0,0.0,0,-563.7570097038988,,0,
160.0,0.0,0,-570.3766099214554,-445.432528,1,124.94408192145539
161.0,0.0,0,-570.2743713837117,,0,
162.0,0.0,0,-561.340787560679,,0,
163.0,0.0,0,-543.9827073290944,,0,
164.0,0.0,0,-520.5990200064844,-462.833688,1,57.76533200648436
165.0,0.0,0,-495.0079814060591,,0,
166.0,0.0,0,-468.3316851030104,,0,
167.0,0.0,0,-442.83706920943223,,0,
168.0,0.0,0,-421.1571819274686,-78.945016,1,342.2121659274686
169.0,0.0,0,-405.2230212111026,,0,
170.0,0.0,0,-397.64415481407195,,0,
171.0,0.0,0,-402.50286087440327,,0,
172.0,0.0,0,-422.3815482042264,36.804026,1,459.18557420422644
173.0,0.0,0,-452.3599619725719,,0,
174.0,0.0,0,-486.337876887992,,0,
175.0,0.0,0,-519.2770065802615,,0,
176.0,0.0,0,-547.3349047484808,-592.861293,1,-45.52638825151928
177.0,0.0,0,-569.9430454573594,,0,
178.0,0.0,0,-586.7104983462486,,0,
179.0,0.0,0,-596.7385765030049,,0,
180.0,0.0,0,-598.7271356880665,-762.878067,1,-164.1509313119335
181.0,0.0,0,-588.991353454534,,0,
182.0,0.0,0,-571.8001857614145,,0,
183.0,0.0,0,-549.9158121231012,,0,
184.0,0.0,0,-527.7030321545899,-394.644113,1,133.0589191545899
185.0,0.0,0,-511.6286095806863,,0,
186.0,0.0,0,-500.2342965384014,,0,
187.0,0.0,0,-492.32259740447626,,0,
188.0,0.0,0,-485.829191691475,-458.894877,1,26.93431469147498
189.0,0.0,0,-478.1463532769121,,0,
190.0,0.0,0,-466.6138754202984,,0,
191.0,0.0,0,-449.7835378833115,,0,
192.0,0.0,0,-428.3281587953679,-159.284279,1,269.04387979536796
193.0,0.0,0,-403.08085479494184,,0,
194.0,0.0,0,-374.4420887136366,,0,
195.0,0.0,0,-342.91985478810966,,0,
196.0,0.0,0,-309.7832392952405,-277.883277,1,31.89996229524047
197.0,0.0,0,-277.08164097415283,,0,
198.0,0.0,0,-245.22578720701858,,0,
199.0,0.0,0,-215.28252439107746,,0,
0.0,1.0,0,548.7180730821565,,0,
1.0,1.0,0,556.5160617614165,,0,
2.0,1.0,0,563.7352412764449,,0,
3.0,1.0,0,566.6117999153212,621.134468,1,54.5226680846788
4.0,1.0,0,561.0904862596653,,0,
5.0,1.0,0,543.0320112535264,,0,
6.0,1.0,0,509.24984973622486,,0,
7.0,1.0,0,456.04337875545025,682.988364,1,226.9449852445498
8.0,1.0,0,380.3576210332103,,0,
9.0,1.0,0,292.0498741979245,,0,
10.0,1.0,0,197.7608839762397,,0,
11.0,1.0,0,103.02517496421933,93.67507,1,-9.350104964219327
12.0,1.0,0,13.633277620654553,,0,
13.0,1.0,0,-65.03075774549507,,0,
14.0,1.0,0,-130.63157063000835,,0,
15.0,1.0,0,-183.74514368874952,-363.506878,1,-179.76173431125045
16.0,1.0,0,-225.5072358995676,,0,
17.0,1.0,0,-257.02752066776156,,0,
18.0,1.0,0,-281.4053037541453,,0,
19.0,1.0,0,-302.6966334343888,-245.055466,1,57.64116743438879
20.0,1.0,0,-325.0227540540509,,0,
21.0,1.0,0,-348.44865377340466,,0,
22.0,1.0,0,-372.78289335547015,,0,
23.0,1.0,0,-397.3966833279701,-368.544611,1,28.85207232797012
24.0,1.0,0,-421.5503394305706,,0,
25.0,1.0,0,-442.86960791097954,,0,
26.0,1.0,0,-459.46128669497557,,0,
27.0,1.0,0,-469.6344278608449,-494.400102,1,-24.765674139155124
28.0,1.0,0,-471.5152698671445,,0,
29.0,1.0,0,-464.80133092199685,,0,
30.0,1.0,0,-449.8556598315481,,0,
31.0,1.0,0,-428.72016284859274,-395.289621,1,33.430541848592725
32.0,1.0,0,-405.1629128213972,,0,
33.0,1.0,0,-383.3920182734728,,0,
34.0,1.0,0,-365.98765614721924,,0,
35.0,1.0,0,-357.06063948431984,-157.078666,1,199.98197348431984
36.0,1.0,0,-363.53652692586184,,0,
37.0,1.0,0,-380.91014362568967,,0,
38.0,1.0,0,-406.49687280040234,,0,
39.0,1.0,0,-438.62772324774414,-453.353661,1,-14.725937752255845
40.0,1.0,0,-476.0384715432301,,0,
41.0,1.0,0,-518.1986060612835,,0,
42.0,1.0,0,-563.936933120247,,0,
43.0,1.0,0,-612.3400638322346,-530.259884,1,82.08017983223453
44.0,1.0,0,-664.3740917306859,,0,
45.0,1.0,0,-716.0077000581659,,0,
46.0,1.0,0,-762.7238420663634,,0,
47.0,1.0,0,-799.907523230766,-902.332336,1,-102.42481276923411
48.0,1.0,0,-825.2372423332417,,0,
49.0,1.0,0,-842.2261825142195,,0,
50.0,1.0,0,-851.9160489093047,,0,
51.0,1.0,0,-853.5889329700731,-887.283703,1,-33.69477002992687
52.0,1.0,0,-845.8877073719632,,0,
53.0,1.0,0,-830.1987069518073,,0,
54.0,1.0,0,-809.1634290330112,,0,
55.0,1.0,0,-785.2718984010862,-807.936082,1,-22.664183598913837
56.0,1.0,0,-757.3435460263863,,0,
57.0,1.0,0,-724.5644222745905,,0,
58.0,1.0,0,-685.5772668248974,,0,
59.0,1.0,0,-638.7810277466197,-677.388051,1,-38.60702325338036
60.0,1.0,0,-584.3326947255991,,0,
61.0,1.0,0,-524.5462835179642,,0,
62.0,1.0,0,-460.340245876112,,0,
63.0,1.0,0,-391.0293900666293,-538.058448,1,-147.02905793337072
64.0,1.0,0,-313.99467105587246,,0,
65.0,1.0,0,-234.58519360923674,,0,
66.0,1.0,0,-155.26990184409078,,0,
67.0,1.0,0,-75.36348539893515,-193.617908,1,-118.25442260106485
68.0,1.0,0,7.3651356073096395,,0,
69.0,1.0,0,94.4090547360247,,0,
70.0,1.0,0,183.6104728366481,,0,
71.0,1.0,0,270.29522200336214,201.262991,1,-69.03223100336214
72.0,1.0,0,347.5784295768826,,0,
73.0,1.0,0,407.12428813247243,,0,
74.0,1.0,0,442.78812155127525,,0,
75.0,1.0,0,451.21594277815893,1039.674493,1,588.458550221841
76.0,1.0,0,429.08855455729645,,0,
77.0,1.0,0,374.7419859676156,,0,
78.0,1.0,0,295.68411044508684,,0,
79.0,1.0,0,202.34283317031804,221.533581,1,19.190747829681953
80.0,1.0,0,104.38453083173954,,0,
81.0,1.0,0,9.738793566182721,,0,
82.0,1.0,0,-77.50425608089427,,0,
83.0,1.0,0,-155.41597798489965,-141.565533,1,13.850444984899667
84.0,1.0,0,-222.78102337167365,,0,
85.0,1.0,0,-277.99042836838635,,0,
86.0,1.0,0,-320.7398742471996,,0,
87.0,1.0,0,-352.1466923242551,-401.30109,1,-49.15439767574486
88.0,1.0,0,-373.0886313254887,,0,
89.0,1.0,0,-386.4426568611525,,0,
90.0,1.0,0,-394.09085695666727,,0,
91.0,1.0,0,-397.9424872233649,-355.511471,1,42.43101622336491
92.0,1.0,0,-400.1459305541939,,0,
93.0,1.0,0,-399.97257047484163,,0,
94.0,1.0,0,-396.57756658492144,,0,
95.0,1.0,0,-389.36671295471024,-428.033593,1,-38.66688004528976
96.0,1.0,0,-379.2596231819625,,0,
97.0,1.0,0,-369.7380604641512,,0,
98.0,1.0,0,-362.9987034040096,,0,
99.0,1.0,0,-359.6633926189679,-261.165633,1,98.4977596189679
100.0,1.0,0,-360.00293045895523,,0,
101.0,1.0,0,-364.1842210437171,,0,
102.0,1.0,0,-370.3168063950143,,0,
103.0,1.0,0,-377.22576314915204,-471.260221,1,-94.03445785084796
