x,y,value,trend,cluster,set
542557.731488,6811124.801129,,376.20804028213024,-1.0,-1
542607.731488,6811124.801129,,374.32149344682693,-1.0,-1
542657.731488,6811124.801129,,372.4069836754352,-1.0,-1
542707.731488,6811124.801129,,370.46339555084705,-1.0,-1
542757.731488,6811124.801129,,368.48957546055317,-1.0,-1
542807.731488,6811124.801129,,366.48433154448867,-1.0,-1
542857.731488,6811124.801129,,364.4464337490499,-1.0,-1
542907.731488,6811124.801129,,362.37461400032043,-1.0,-1
542957.731488,6811124.801129,,360.26756659150124,-1.0,-1
543007.731488,6811124.801129,,358.1239487528801,-1.0,-1
543057.731488,6811124.801129,,355.942381285131,-1.0,-1
543107.731488,6811124.801129,,353.72144908457994,-1.0,-1
543157.731488,6811124.801129,,351.4597026333213,-1.0,-1
543207.731488,6811124.801129,,349.1556586511433,-1.0,-1
543257.731488,6811124.801129,,346.8078018911183,-1.0,-1
543307.731488,6811124.801129,,344.4145864546299,-1.0,-1
543357.731488,6811124.801129,,341.9744377657771,-1.0,-1
543407.731488,6811124.801129,,339.4857544451952,-1.0,-1
543457.731488,6811124.801129,,336.9469108507037,-1.0,-1
543507.731488,6811124.801129,,334.3562593366951,-1.0,-1
543557.731488,6811124.801129,,331.71213334798813,-1.0,-1
543607.731488,6811124.801129,,329.0128502883017,-1.0,-1
543657.731488,6811124.801129,,326.2567150890827,-1.0,-1
543707.731488,6811124.801129,,323.4420236647129,-1.0,-1
543757.731488,6811124.801129,,320.5670671239495,-1.0,-1
543807.731488,6811124.801129,,317.6301357448101,-1.0,-1
543857.731488,6811124.801129,,314.62952384725213,-1.0,-1
543907.731488,6811124.801129,,311.56353449448943,-1.0,-1
543957.731488,6811124.801129,,308.4304845929146,-1.0,-1
544007.731488,6811124.801129,,305.22871066629887,-1.0,-1
544057.731488,6811124.801129,,301.95657425001264,-1.0,-1
544107.731488,6811124.801129,,298.61246813833714,-1.0,-1
544157.731488,6811124.801129,,295.1948227882385,-1.0,-1
544207.731488,6811124.801129,,291.70211266726255,-1.0,-1
544257.731488,6811124.801129,,288.13286316394806,-1.0,-1
544307.731488,6811124.801129,,284.4856576099992,-1.0,-1
544357.731488,6811124.801129,,280.7591444924474,-1.0,-1
544407.731488,6811124.801129,,276.95204469934106,-1.0,-1
544457.731488,6811124.801129,,273.06315921992064,-1.0,-1
544507.731488,6811124.801129,,269.09137634187937,-1.0,-1
544557.731488,6811124.801129,,265.0356798171997,-1.0,-1
544607.731488,6811124.801129,,260.895155813545,-1.0,-1
544657.731488,6811124.801129,,256.669001115486,-1.0,-1
544707.731488,6811124.801129,,252.35653024539351,-1.0,-1
544757.731488,6811124.801129,,247.95718291401863,-1.0,-1
544807.731488,6811124.801129,,243.47053131088614,-1.0,-1
544857.731488,6811124.801129,,238.89628690853715,-1.0,-1
544907.731488,6811124.801129,,234.2343071848154,-1.0,-1
544957.731488,6811124.801129,,229.4846020191908,-1.0,-1
545007.731488,6811124.801129,,224.64733942970634,-1.0,-1
545057.731488,6811124.801129,,219.72285122983158,-1.0,-1
545107.731488,6811124.801129,,214.7116380482912,-1.0,-1
545157.731488,6811124.801129,,209.61437375843525,-1.0,-1
545207.731488,6811124.801129,,204.43190948292613,-1.0,-1
545257.731488,6811124.801129,,199.16527685895562,-1.0,-1
545307.731488,6811124.801129,,193.81569088995457,-1.0,-1
545357.731488,6811124.801129,,188.38455203175545,-1.0,-1
545407.731488,6811124.801129,,182.87344762682915,-1.0,-1
545457.731488,6811124.801129,,177.28415279462934,-1.0,-1
545507.731488,6811124.801129,,171.6186305731535,-1.0,-1
545557.731488,6811124.801129,,165.87903156504035,-1.0,-1
545607.731488,6811124.801129,,160.0676928423345,-1.0,-1
545657.731488,6811124.801129,,154.1871366277337,-1.0,-1
545707.731488,6811124.801129,,148.24006783403456,-1.0,-1
545757.731488,6811124.801129,,142.2293717265129,-1.0,-1
545807.731488,6811124.801129,,136.15811111032963,-1.0,-1
545857.731488,6811124.801129,,130.02952282503247,-1.0,-1
545907.731488,6811124.801129,,123.84701433777809,-1.0,-1
545957.731488,6811124.801129,,117.61416010558605,-1.0,-1
546007.731488,6811124.801129,,111.33469765260816,-1.0,-1
546057.731488,6811124.801129,,105.01252399757504,-1.0,-1
546107.731488,6811124.801129,,98.65169189497828,-1.0,-1
546157.731488,6811124.801129,,92.25640654563904,-1.0,-1
546207.731488,6811124.801129,,85.83102221786976,-1.0,-1
546257.731488,6811124.801129,,79.3800399005413,-1.0,-1
546307.731488,6811124.801129,,72.90810490772128,-1.0,-1
546357.731488,6811124.801129,,66.42000526934862,-1.0,-1
546407.731488,6811124.801129,,59.920670952647924,-1.0,-1
546457.731488,6811124.801129,,53.415173728019,-1.0,-1
546507.731488,6811124.801129,,46.908727841451764,-1.0,-1
546557.731488,6811124.801129,,40.4066918194294,-1.0,-1
546607.731488,6811124.801129,,33.91457100212574,-1.0,-1
546657.731488,6811124.801129,,27.43802137672901,-1.0,-1
546707.731488,6811124.801129,,20.982854182831943,-1.0,-1
546757.731488,6811124.801129,,14.555042024701834,-1.0,-1
546807.731488,6811124.801129,,8.160725839436054,-1.0,-1
546857.731488,6811124.801129,,1.8062230832874775,-1.0,-1
546907.731488,6811124.801129,,-4.501962915062904,-1.0,-1
546957.731488,6811124.801129,,-10.757132284343243,-1.0,-1
547007.731488,6811124.801129,,-16.952376946806908,-1.0,-1
547057.731488,6811124.801129,,-23.08056766167283,-1.0,-1
547107.731488,6811124.801129,,-29.134340099990368,-1.0,-1
547157.731488,6811124.801129,,-35.10607944428921,-1.0,-1
547207.731488,6811124.801129,,-40.987903997302055,-1.0,-1
547257.731488,6811124.801129,,-46.77164767682552,-1.0,-1
547307.731488,6811124.801129,,-52.44884113408625,-1.0,-1
547357.731488,6811124.801129,,-58.01069149374962,-1.0,-1
547407.731488,6811124.801129,,-63.44806099683046,-1.0,-1
547457.731488,6811124.801129,,-68.75144416280091,-1.0,-1
547507.731488,6811124.801129,,-73.91094290465117,-1.0,-1
547557.731488,6811124.801129,,-78.91624035686255,-1.0,-1
547607.731488,6811124.801129,,-83.75657250732183,-1.0,-1
547657.731488,6811124.801129,,-88.42069752700627,-1.0,-1
547707.731488,6811124.801129,,-92.89686253853142,-1.0,-1
547757.731488,6811124.801129,,-97.17276753112674,-1.0,-1
547807.731488,6811124.801129,,-101.23552607744932,-1.0,-1
547857.731488,6811124.801129,,-105.07162231765687,-1.0,-1
547907.731488,6811124.801129,,-108.66686409153044,-1.0,-1
547957.731488,6811124.801129,,-112.00633158534765,-1.0,-1
548007.731488,6811124.801129,,-115.0743213724345,-1.0,-1
548057.731488,6811124.801129,,-117.8542856387794,-1.0,-1
548107.731488,6811124.801129,,-120.3287662807852,-1.0,-1
548157.731488,6811124.801129,,-122.47932408377528,-1.0,-1
548207.731488,6811124.801129,,-124.28646304830909,-1.0,-1
548257.731488,6811124.801129,,-125.72955030668527,-1.0,-1
548307.731488,6811124.801129,,-126.78673258796334,-1.0,-1
548357.731488,6811124.801129,,-127.43484966829419,-1.0,-1
548407.731488,6811124.801129,,-127.64934694580734,-1.0,-1
548457.731488,6811124.801129,,-127.40418807789683,-1.0,-1
548507.731488,6811124.801129,,-126.67177034914494,-1.0,-1
548557.731488,6811124.801129,,-125.42284499108791,-1.0,-1
548607.731488,6811124.801129,,-123.62644537165761,-1.0,-1
548657.731488,6811124.801129,,-121.24982631858438,-1.0,-1
548707.731488,6811124.801129,,-118.25841819308698,-1.0,-1
