x,y,value,trend,cluster,set
544207.731488,6811124.801129,,332.59523171186447,-1.0,-1
544257.731488,6811124.801129,,327.8479529619217,-1.0,-1
544307.731488,6811124.801129,,322.9406508207321,-1.0,-1
544357.731488,6811124.801129,,317.87144470214844,-1.0,-1
544407.731488,6811124.801129,,312.63863778859377,-1.0,-1
544457.731488,6811124.801129,,307.24073910713196,-1.0,-1
544507.731488,6811124.801129,,301.67646449804306,-1.0,-1
544557.731488,6811124.801129,,295.94476449489594,-1.0,-1
544607.731488,6811124.801129,,290.04480588436127,-1.0,-1
544657.731488,6811124.801129,,283.976012468338,-1.0,-1
544707.731488,6811124.801129,,277.73805379867554,-1.0,-1
544757.731488,6811124.801129,,271.33086252212524,-1.0,-1
544807.731488,6811124.801129,,264.75463984906673,-1.0,-1
544857.731488,6811124.801129,,258.00985300540924,-1.0,-1
544907.731488,6811124.801129,,251.0972591638565,-1.0,-1
544957.731488,6811124.801129,,244.01789700984955,-1.0,-1
545007.731488,6811124.801129,,236.7730821967125,-1.0,-1
545057.731488,6811124.801129,,229.36443066596985,-1.0,-1
545107.731488,6811124.801129,,221.7938346862793,-1.0,-1
545157.731488,6811124.801129,,214.0634816288948,-1.0,-1
545207.731488,6811124.801129,,206.1758414208889,-1.0,-1
545257.731488,6811124.801129,,198.13366305828094,-1.0,-1
545307.731488,6811124.801129,,189.9399697780609,-1.0,-1
545357.731488,6811124.801129,,181.59805238246918,-1.0,-1
545407.731488,6811124.801129,,173.1114645600319,-1.0,-1
545457.731488,6811124.801129,,164.48400804400444,-1.0,-1
545507.731488,6811124.801129,,155.7197277545929,-1.0,-1
545557.731488,6811124.801129,,146.82289332151413,-1.0,-1
545607.731488,6811124.801129,,137.79799157381058,-1.0,-1
545657.731488,6811124.801129,,128.64970567822456,-1.0,-1
545707.731488,6811124.801129,,119.38291233778,-1.0,-1
545757.731488,6811124.801129,,110.00264847278595,-1.0,-1
545807.731488,6811124.801129,,100.51411518454552,-1.0,-1
545857.731488,6811124.801129,,90.92264011502266,-1.0,-1
545907.731488,6811124.801129,,81.23367547988892,-1.0,-1
545957.731488,6811124.801129,,71.4527657032013,-1.0,-1
546007.731488,6811124.801129,,61.58554818481207,-1.0,-1
546057.731488,6811124.801129,,51.63771590590477,-1.0,-1
546107.731488,6811124.801129,,41.615010201931,-1.0,-1
