x,y,value,trend,cluster,set
545607.731488,6811124.801129,,-399.3156180009246,-1.0,-1
545657.731488,6811124.801129,,-400.87736110319383,-1.0,-1
545707.731488,6811124.801129,,-402.42711798660457,-1.0,-1
545757.731488,6811124.801129,,-403.96462132874876,-1.0,-1
545807.731488,6811124.801129,,-405.489556029439,-1.0,-1
545857.731488,6811124.801129,,-407.0015578493476,-1.0,-1
545907.731488,6811124.801129,,-408.50021221861243,-1.0,-1
545957.731488,6811124.801129,,-409.98505268245935,-1.0,-1
546007.731488,6811124.801129,,-411.45555974543095,-1.0,-1
546057.731488,6811124.801129,,-412.91115871071815,-1.0,-1
546107.731488,6811124.801129,,-414.35121778957546,-1.0,-1
546157.731488,6811124.801129,,-415.7750454773195,-1.0,-1
546207.731488,6811124.801129,,-417.18188761919737,-1.0,-1
546257.731488,6811124.801129,,-418.5709234327078,-1.0,-1
546307.731488,6811124.801129,,-419.94126123934984,-1.0,-1
546357.731488,6811124.801129,,-421.29193277843297,-1.0,-1
546407.731488,6811124.801129,,-422.6218870282173,-1.0,-1
546457.731488,6811124.801129,,-423.9299824088812,-1.0,-1
546507.731488,6811124.801129,,-425.2149779982865,-1.0,-1
546557.731488,6811124.801129,,-426.4755232669413,-1.0,-1
546607.731488,6811124.801129,,-427.71014653146267,-1.0,-1
546657.731488,6811124.801129,,-428.91724146716297,-1.0,-1
546707.731488,6811124.801129,,-430.095052652061,-1.0,-1
546757.731488,6811124.801129,,-431.24165901727974,-1.0,-1
546807.731488,6811124.801129,,-432.3549557328224,-1.0,-1
546857.731488,6811124.801129,,-433.4326348826289,-1.0,-1
546907.731488,6811124.801129,,-434.4721642024815,-1.0,-1
546957.731488,6811124.801129,,-435.4707646947354,-1.0,-1
547007.731488,6811124.801129,,-436.4253868237138,-1.0,-1
547057.731488,6811124.801129,,-437.3326857164502,-1.0,-1
547107.731488,6811124.801129,,-438.18899548985064,-1.0,-1
547157.731488,6811124.801129,,-438.9903029035777,-1.0,-1
547207.731488,6811124.801129,,-439.7322208415717,-1.0,-1
547257.731488,6811124.801129,,-440.40996154537424,-1.0,-1
547307.731488,6811124.801129,,-441.01831040438265,-1.0,-1
547357.731488,6811124.801129,,-441.55160025088117,-1.0,-1
547407.731488,6811124.801129,,-442.0036867633462,-1.0,-1
