x,y,value,trend,cluster,set
548307.731488,6811124.801129,,-284.3866509757936,-1.0,-1
548357.731488,6811124.801129,,-289.5689400397241,-1.0,-1
548407.731488,6811124.801129,,-294.51709120348096,-1.0,-1
548457.731488,6811124.801129,,-299.2382908836007,-1.0,-1
548507.731488,6811124.801129,,-303.7390832360834,-1.0,-1
548557.731488,6811124.801129,,-308.02509462833405,-1.0,-1
548607.731488,6811124.801129,,-312.10077458806336,-1.0,-1
548657.731488,6811124.801129,,-315.96915948577225,-1.0,-1
548707.731488,6811124.801129,,-319.63166371919215,-1.0,-1
548757.731488,6811124.801129,,-323.087901443243,-1.0,-1
548807.731488,6811124.801129,,-326.3355417307466,-1.0,-1
548857.731488,6811124.801129,,-329.3701980225742,-1.0,-1
548907.731488,6811124.801129,,-332.185353606008,-1.0,-1
548957.731488,6811124.801129,,-334.77232386684045,-1.0,-1
549007.731488,6811124.801129,,-337.1202563447878,-1.0,-1
549057.731488,6811124.801129,,-339.2161702308804,-1.0,-1
549107.731488,6811124.801129,,-341.0450370591134,-1.0,-1
549157.731488,6811124.801129,,-342.5899040605873,-1.0,-1
549207.731488,6811124.801129,,-343.83206290286034,-1.0,-1
549257.731488,6811124.801129,,-344.7512646019459,-1.0,-1
549307.731488,6811124.801129,,-345.32598244166,-1.0,-1
549357.731488,6811124.801129,,-345.5337225198746,-1.0,-1
549407.731488,6811124.801129,,-345.35138092935085,-1.0,-1
549457.731488,6811124.801129,,-344.75564491935074,-1.0,-1
549507.731488,6811124.801129,,-343.72343376651406,-1.0,-1
549557.731488,6811124.801129,,-342.2323732934892,-1.0,-1
549607.731488,6811124.801129,,-340.2612962797284,-1.0,-1
549657.731488,6811124.801129,,-337.7907596901059,-1.0,-1
549707.731488,6811124.801129,,-334.8035680083558,-1.0,-1
549757.731488,6811124.801129,,-331.2852914961986,-1.0,-1
549807.731488,6811124.801129,,-327.2247670199722,-1.0,-1
549857.731488,6811124.801129,,-322.61456924676895,-1.0,-1
549907.731488,6811124.801129,,-317.4514403697103,-1.0,-1
549957.731488,6811124.801129,,-311.73666708916426,-1.0,-1
550007.731488,6811124.801129,,-305.4763947185129,-1.0,-1
550057.731488,6811124.801129,,-298.6818703375757,-1.0,-1
550107.731488,6811124.801129,,-291.3696087556891,-1.0,-1
550157.731488,6811124.801129,,-283.56147716380656,-1.0,-1
550207.731488,6811124.801129,,-275.28469721693546,-1.0,-1
550257.731488,6811124.801129,,-266.5717655234039,-1.0,-1
550307.731488,6811124.801129,,-257.46029591560364,-1.0,-1
550357.731488,6811124.801129,,-247.99278885126114,-1.0,-1
550407.731488,6811124.801129,,-238.21633489988744,-1.0,-1
550457.731488,6811124.801129,,-228.18226079270244,-1.0,-1
550507.731488,6811124.801129,,-217.94572668685578,-1.0,-1
550557.731488,6811124.801129,,-207.56528376461938,-1.0,-1
550607.731488,6811124.801129,,-197.1024013031274,-1.0,-1
550657.731488,6811124.801129,,-186.6209710612893,-1.0,-1
550707.731488,6811124.801129,,-176.18679670989513,-1.0,-1
550757.731488,6811124.801129,,-165.86707461997867,-1.0,-1
550807.731488,6811124.801129,,-155.7298712907359,-1.0,-1
550857.731488,6811124.801129,,-145.84360153973103,-1.0,-1
550907.731488,6811124.801129,,-136.27651103492826,-1.0,-1
550957.731488,6811124.801129,,-127.09616530546919,-1.0,-1
551007.731488,6811124.801129,,-118.36894710734487,-1.0,-1
551057.731488,6811124.801129,,-110.15956343896687,-1.0,-1
551107.731488,6811124.801129,,-102.53056316450238,-1.0,-1
551157.731488,6811124.801129,,-95.54186620935798,-1.0,-1
551207.731488,6811124.801129,,-89.25030500022694,-1.0,-1
551257.731488,6811124.801129,,-83.70917956531048,-1.0,-1
551307.731488,6811124.801129,,-78.96782721020281,-1.0,-1
551357.731488,6811124.801129,,-75.0712088230066,-1.0,-1
551407.731488,6811124.801129,,-72.05951343942434,-1.0,-1
551457.731488,6811124.801129,,-69.96778405830264,-1.0,-1
551507.731488,6811124.801129,,-68.82556669972837,-1.0,-1
551557.731488,6811124.801129,,-68.65658676624298,-1.0,-1
551607.731488,6811124.801129,,-69.47845532931387,-1.0,-1
551657.731488,6811124.801129,,-71.30240952596068,-1.0,-1
551707.731488,6811124.801129,,-74.1330903917551,-1.0,-1
551757.731488,6811124.801129,,-77.96836211066693,-1.0,-1
551807.731488,6811124.801129,,-82.79917616210878,-1.0,-1
551857.731488,6811124.801129,,-88.60948363691568,-1.0,-1
551907.731488,6811124.801129,,-95.37619887664914,-1.0,-1
551957.731488,6811124.801129,,-103.06921675801277,-1.0,-1
552007.731488,6811124.801129,,-111.65148567175493,-1.0,-1
552057.731488,6811124.801129,,-121.07913733646274,-1.0,-1
552107.731488,6811124.801129,,-131.30167396739125,-1.0,-1
552157.731488,6811124.801129,,-142.26221244269982,-1.0,-1
552207.731488,6811124.801129,,-153.89778445661068,-1.0,-1
552257.731488,6811124.801129,,-166.13969034329057,-1.0,-1
