x,y,cluster,trend,value,set,residual
127.0,0.0,1,-449.64822383034334,,0,
128.0,0.0,1,-445.52228145830304,,0,
129.0,0.0,1,-441.4170871462993,,0,
130.0,0.0,2,-437.25066542782315,,0,
131.0,0.0,2,-432.964271257144,,0,
132.0,0.0,2,-428.51386102699325,-100.3713,1,328.14256102699323
133.0,0.0,2,-423.86432537147994,,0,
134.0,0.0,2,-418.9851698694656,,0,
135.0,0.0,2,-413.8469368113874,,0,
136.0,0.0,2,-408.41810956504924,,0,
137.0,0.0,2,-402.6628369728405,,0,
138.0,0.0,2,-396.5410148578944,44.65782,1,441.19883485789444
139.0,0.0,2,-390.0142606130248,,0,
140.0,0.0,2,-383.0618448143359,,0,
141.0,0.0,2,-375.70296732438874,,0,
142.0,0.0,2,-368.0078159598088,,0,
143.0,0.0,2,-360.08495058522385,,0,
144.0,0.0,2,-352.05733489808335,54.862272,1,406.9196068980834
145.0,0.0,2,-344.0444298546645,,0,
146.0,0.0,2,-336.15378588928615,,0,
147.0,0.0,2,-328.47785131065757,,0,
148.0,0.0,2,-321.09218486006284,,0,
149.0,0.0,2,-314.05320928077344,,0,
150.0,0.0,2,-307.3949070089511,-257.659604,1,49.73530300895112
151.0,0.0,2,-301.1250663413666,,0,
152.0,0.0,2,-295.22454611190915,,0,
153.0,0.0,2,-289.6583899440375,,0,
154.0,0.0,2,-284.40353014931134,,0,
155.0,0.0,2,-279.46682261654496,,0,
156.0,0.0,2,-274.8664080770104,-425.328445,1,-150.46203692298957
157.0,0.0,2,-270.60344128537326,,0,
158.0,0.0,2,-266.6504902861816,,0,
159.0,0.0,2,-262.95192257798044,,0,
160.0,0.0,2,-259.4275220087584,,0,
161.0,0.0,2,-255.97595224377437,,0,
162.0,0.0,2,-252.47748929915542,-385.36112,1,-132.8836307008446
163.0,0.0,2,-248.79637921975518,,0,
164.0,0.0,2,-244.78361010127264,,0,
165.0,0.0,2,-240.28128754896534,,0,
166.0,0.0,2,-235.13009678947856,,0,
167.0,0.0,2,-229.18093181397126,,0,
168.0,0.0,2,-222.3097602109192,-78.945016,1,143.36474421091918
169.0,0.0,2,-214.43131951717078,,0,
170.0,0.0,2,-205.5052980611763,,0,
171.0,0.0,2,-195.53180451302615,,0,
172.0,0.0,3,-184.53923282528558,,0,
173.0,0.0,3,-172.57080031823716,,0,
174.0,0.0,3,-159.67413679468882,-418.979534,1,-259.3053972053112
175.0,0.0,3,-145.89490613257658,,0,
176.0,0.0,3,-131.27356566287926,,0,
177.0,0.0,3,-115.84421427758934,,0,
178.0,0.0,3,-99.63521271606442,,0,
179.0,0.0,3,-82.67227469319914,,0,
180.0,0.0,3,-64.98540979007521,-762.878067,1,-697.8926572099248
181.0,0.0,3,-46.620068210388126,,0,
182.0,0.0,3,-27.648847681542975,,0,
183.0,0.0,3,-8.176278532613651,,0,
184.0,0.0,3,11.667576152889524,,0,
185.0,0.0,3,31.74040979653364,,0,
186.0,0.0,3,51.90034423776888,-386.242755,1,-438.14309923776887
187.0,0.0,3,72.01434909997624,,0,
188.0,0.0,3,91.9628280755278,,0,
189.0,0.0,3,111.64196025163255,,0,
190.0,0.0,3,130.96495632504957,,0,
191.0,0.0,3,149.8627432290814,,0,
192.0,0.0,3,168.284145794707,-159.284279,1,-327.56842479470697
193.0,0.0,3,186.1953789106483,,0,
194.0,0.0,3,203.5785392577527,,0,
195.0,0.0,3,220.42880648376013,,0,
196.0,0.0,3,236.75032244671456,,0,
197.0,0.0,3,252.5512760118072,,0,
198.0,0.0,3,267.83937561907806,-39.921405,1,-307.76078061907805
199.0,0.0,3,282.6190821448399,,0,
0.0,1.0,0,281.7661988693144,,0,
1.0,1.0,0,266.67830742643855,,0,
2.0,1.0,0,250.83140854259545,,0,
3.0,1.0,0,234.15653920888508,,0,
4.0,1.0,0,216.59587666559673,,0,
5.0,1.0,0,198.1152366729366,695.238031,1,497.1227943270634
6.0,1.0,0,178.7158252110239,,0,
7.0,1.0,0,158.43973364137491,,0,
8.0,1.0,0,137.36644927255838,,0,
9.0,1.0,0,115.60317986033624,,0,
10.0,1.0,0,93.27454731165199,,0,
11.0,1.0,0,70.5154982254353,93.67507,1,23.15957177456471
12.0,1.0,0,47.468263459333684,,0,
13.0,1.0,0,24.282555328361923,,0,
14.0,1.0,0,1.1181461988308001,,0,
15.0,1.0,0,-21.850051314868324,,0,
16.0,1.0,0,-44.42206636045012,,0,
17.0,1.0,0,-66.3496490328107,-280.582936,1,-214.23328696718931
18.0,1.0,0,-87.28747604854289,,0,
19.0,1.0,0,-106.93651650443644,,0,
20.0,1.0,0,-125.41005438979482,,0,
21.0,1.0,0,-142.87025579479086,,0,
22.0,1.0,0,-159.38738986448152,,0,
23.0,1.0,0,-174.99112616341154,-368.544611,1,-193.55348483658844
24.0,1.0,0,-189.69598270245478,,0,
25.0,1.0,0,-203.51294567740115,,0,
26.0,1.0,0,-216.45558841023012,,0,
27.0,1.0,0,-228.54326181375654,,0,
28.0,1.0,0,-239.802324033044,,0,
29.0,1.0,0,-250.26597387996298,-422.596946,1,-172.33097212003702
30.0,1.0,0,-259.97316549535026,,0,
31.0,1.0,0,-268.9670188860946,,0,
32.0,1.0,0,-277.29302991252916,,0,
33.0,1.0,0,-284.99724512196553,,0,
34.0,1.0,0,-292.1244418766728,,0,
35.0,1.0,0,-298.7162631280553,-157.078666,1,141.6375971280553
36.0,1.0,0,-304.80919102234475,,0,
37.0,1.0,0,-310.43216653835407,,0,
38.0,1.0,0,-315.60347947081027,,0,
39.0,1.0,0,-320.32596925466714,,0,
40.0,1.0,0,-324.5772128064782,,0,
41.0,1.0,0,-328.272116275999,-405.154015,1,-76.88189872400102
42.0,1.0,0,-331.2268380068126,,0,
43.0,1.0,0,-333.6779230183565,,0,
44.0,1.0,0,-335.7640980684082,,0,
45.0,1.0,0,-337.5630374873217,,0,
46.0,1.0,0,-339.12901125850476,,0,
47.0,1.0,0,-340.50233331398704,-902.332336,1,-561.830002686013
48.0,1.0,0,-341.7130973668827,,0,
49.0,1.0,0,-342.7824822101684,,0,
50.0,1.0,0,-343.72258977539605,,0,
51.0,1.0,0,-344.5352312625837,,0,
52.0,1.0,0,-345.2099090519914,,0,
53.0,1.0,0,-345.72112998781813,-769.317355,1,-423.5962250121819
54.0,1.0,0,-346.024974939588,,0,
55.0,1.0,0,-346.0543779186828,,0,
56.0,1.0,0,-345.7114902762405,,0,
57.0,1.0,0,-344.8526349924068,,0,
58.0,1.0,0,-343.2507658481263,,0,
59.0,1.0,0,-340.4358879534266,-677.388051,1,-336.95216304657345
60.0,1.0,0,-335.53981166340236,,0,
61.0,1.0,0,-329.57265651498165,,0,
62.0,1.0,0,-323.1516587017395,,0,
63.0,1.0,0,-316.66138614233205,,0,
64.0,1.0,0,-310.4170817441627,,0,
65.0,1.0,0,-304.7025195650858,-268.60293,1,36.09958956508581
66.0,1.0,0,-299.7773144179664,,0,
67.0,1.0,0,-295.863626084536,,0,
68.0,1.0,0,-293.12101541990705,,0,
69.0,1.0,0,-291.6323508061032,,0,
70.0,1.0,0,-291.4166681867355,,0,
71.0,1.0,0,-292.4547738227302,201.262991,1,493.7177648227302
72.0,1.0,1,-294.70714952101116,,0,
73.0,1.0,1,-298.12044989129936,,0,
74.0,1.0,1,-302.6279858175112,,0,
75.0,1.0,1,-308.14873316523517,,0,
76.0,1.0,1,-314.5867708518999,,0,
77.0,1.0,1,-321.831493994594,494.925935,1,816.757428994594
78.0,1.0,1,-329.7583605805157,,0,
79.0,1.0,1,-338.2298986282349,,0,
80.0,1.0,1,-347.0970141443977,,0,
81.0,1.0,1,-356.20125032453507,,0,
82.0,1.0,1,-365.3795022122795,,0,
83.0,1.0,1,-374.4732558466385,-141.565533,1,232.9077228466385
84.0,1.0,1,-383.3430314512443,,0,
85.0,1.0,1,-391.88381801316064,,0,
