x,y,val
0.0,0.0,474.224075
1.0,0.0,545.317352
2.0,0.0,563.936847
3.0,0.0,588.766255
4.0,0.0,634.226889
5.0,0.0,696.594805
6.0,0.0,749.593665
7.0,0.0,642.019941
8.0,0.0,543.684405
9.0,0.0,518.739508
10.0,0.0,366.246717
11.0,0.0,131.113667
12.0,0.0,-36.874397
13.0,0.0,-148.15661
14.0,0.0,-261.009364
15.0,0.0,-311.554084
16.0,0.0,-295.860241
17.0,0.0,-270.998116
18.0,0.0,-255.970953
19.0,0.0,-192.569028
20.0,0.0,-179.250285
21.0,0.0,-185.735964
22.0,0.0,-266.25859
23.0,0.0,-432.319171
24.0,0.0,-512.422377
25.0,0.0,-508.708437
26.0,0.0,-508.759369
27.0,0.0,-480.447325
28.0,0.0,-450.253056
29.0,0.0,-396.43129
30.0,0.0,-353.156803
31.0,0.0,-307.117562
32.0,0.0,-306.832567
33.0,0.0,-287.457845
34.0,0.0,-184.689399
35.0,0.0,-184.548376
36.0,0.0,-269.85286
37.0,0.0,-386.019894
38.0,0.0,-444.03916
39.0,0.0,-391.837131
40.0,0.0,-277.807808
41.0,0.0,-271.818293
42.0,0.0,-372.586972
43.0,0.0,-430.345487
44.0,0.0,-448.97593
45.0,0.0,-564.117043
46.0,0.0,-700.937428
47.0,0.0,-792.808857
48.0,0.0,-834.016074
49.0,0.0,-856.102496
50.0,0.0,-839.117101
51.0,0.0,-829.348029
52.0,0.0,-792.819358
53.0,0.0,-765.717448
54.0,0.0,-776.971686
55.0,0.0,-786.591882
56.0,0.0,-767.857072
57.0,0.0,-704.048944
58.0,0.0,-626.296992
59.0,0.0,-605.857044
60.0,0.0,-570.530454
61.0,0.0,-513.123425
62.0,0.0,-497.857909
63.0,0.0,-505.000776
64.0,0.0,-440.568104
65.0,0.0,-268.045435
66.0,0.0,-183.533745
67.0,0.0,-169.288073
68.0,0.0,-81.994134
69.0,0.0,-21.948741
70.0,0.0,19.612159
71.0,0.0,123.760121
72.0,0.0,410.148254
73.0,0.0,780.666334
74.0,0.0,1049.973414
75.0,0.0,1066.688919
76.0,0.0,727.386687
77.0,0.0,420.467076
78.0,0.0,306.953297
79.0,0.0,164.046319
80.0,0.0,37.125652
81.0,0.0,109.294536
82.0,0.0,156.127687
83.0,0.0,63.260426
84.0,0.0,8.115114
85.0,0.0,-108.100714
86.0,0.0,-199.723046
87.0,0.0,-286.848206
88.0,0.0,-372.073892
89.0,0.0,-410.042013
90.0,0.0,-405.137127
91.0,0.0,-322.244212
92.0,0.0,-351.902892
93.0,0.0,-494.789116
94.0,0.0,-448.02018
95.0,0.0,-321.722985
96.0,0.0,-258.137721
97.0,0.0,-179.071938
98.0,0.0,-98.38895
99.0,0.0,-132.891229
100.0,0.0,-252.379389
101.0,0.0,-323.386595
