x,y,val,clust
0.000000,0.000000,474.224075,0.000000
6.000000,0.000000,749.593665,0.000000
12.000000,0.000000,-36.874397,0.000000
18.000000,0.000000,-255.970953,0.000000
24.000000,0.000000,-512.422377,0.000000
30.000000,0.000000,-353.156803,0.000000
36.000000,0.000000,-269.852860,0.000000
42.000000,0.000000,-372.586972,0.000000
48.000000,0.000000,-834.016074,0.000000
54.000000,0.000000,-776.971686,0.000000
60.000000,0.000000,-570.530454,0.000000
66.000000,0.000000,-183.533745,0.000000
72.000000,0.000000,410.148254,1.000000
78.000000,0.000000,306.953297,1.000000
84.000000,0.000000,8.115114,1.000000
90.000000,0.000000,-405.137127,1.000000
96.000000,0.000000,-258.137721,1.000000
102.000000,0.000000,-403.129118,1.000000
108.000000,0.000000,-509.476140,1.000000
114.000000,0.000000,-60.119306,1.000000
120.000000,0.000000,-40.037057,1.000000
126.000000,0.000000,-532.989036,1.000000
132.000000,0.000000,-100.371300,2.000000
138.000000,0.000000,44.657820,2.000000
144.000000,0.000000,54.862272,2.000000
150.000000,0.000000,-257.659604,2.000000
156.000000,0.000000,-425.328445,2.000000
162.000000,0.000000,-385.361120,2.000000
168.000000,0.000000,-78.945016,2.000000
174.000000,0.000000,-418.979534,3.000000
180.000000,0.000000,-762.878067,3.000000
186.000000,0.000000,-386.242755,3.000000
192.000000,0.000000,-159.284279,3.000000
198.000000,0.000000,-39.921405,3.000000
5.000000,1.000000,695.238031,0.000000
11.000000,1.000000,93.675070,0.000000
17.000000,1.000000,-280.582936,0.000000
23.000000,1.000000,-368.544611,0.000000
29.000000,1.000000,-422.596946,0.000000
35.000000,1.000000,-157.078666,0.000000
41.000000,1.000000,-405.154015,0.000000
47.000000,1.000000,-902.332336,0.000000
53.000000,1.000000,-769.317355,0.000000
59.000000,1.000000,-677.388051,0.000000
65.000000,1.000000,-268.602930,0.000000
71.000000,1.000000,201.262991,0.000000
77.000000,1.000000,494.925935,1.000000
83.000000,1.000000,-141.565533,1.000000
89.000000,1.000000,-481.856197,1.000000
95.000000,1.000000,-428.033593,1.000000
101.000000,1.000000,-415.118207,1.000000
107.000000,1.000000,-511.931728,1.000000
113.000000,1.000000,-116.696270,1.000000
119.000000,1.000000,-207.562390,1.000000
125.000000,1.000000,-322.327174,1.000000
131.000000,1.000000,-276.961617,2.000000
137.000000,1.000000,142.002532,2.000000
143.000000,1.000000,-24.745336,2.000000
149.000000,1.000000,-132.394629,2.000000
155.000000,1.000000,-491.241700,2.000000
161.000000,1.000000,-552.482426,2.000000
167.000000,1.000000,-389.302605,2.000000
173.000000,1.000000,-182.470585,3.000000
179.000000,1.000000,-741.947155,3.000000
185.000000,1.000000,-413.107599,3.000000
191.000000,1.000000,-393.093982,3.000000
197.000000,1.000000,-217.627958,3.000000
4.000000,2.000000,546.320071,0.000000
10.000000,2.000000,304.749845,0.000000
16.000000,2.000000,-328.573169,0.000000
22.000000,2.000000,-308.543502,0.000000
28.000000,2.000000,-524.460075,0.000000
34.000000,2.000000,-222.667790,0.000000
40.000000,2.000000,-493.536874,0.000000
46.000000,2.000000,-866.284542,0.000000
52.000000,2.000000,-741.551645,0.000000
58.000000,2.000000,-758.138494,0.000000
64.000000,2.000000,-349.714978,0.000000
70.000000,2.000000,109.882826,0.000000
76.000000,2.000000,653.766291,1.000000
82.000000,2.000000,-110.070171,1.000000
88.000000,2.000000,-475.325693,1.000000
94.000000,2.000000,-465.607626,1.000000
100.000000,2.000000,-321.034092,1.000000
106.000000,2.000000,-398.174171,1.000000
112.000000,2.000000,-368.941656,1.000000
118.000000,2.000000,-326.686436,1.000000
124.000000,2.000000,-215.529366,1.000000
130.000000,2.000000,-106.959931,2.000000
136.000000,2.000000,81.757014,2.000000
142.000000,2.000000,-222.124311,2.000000
148.000000,2.000000,76.915798,2.000000
154.000000,2.000000,-497.932693,2.000000
160.000000,2.000000,-623.052727,2.000000
166.000000,2.000000,-450.623618,2.000000
172.000000,2.000000,-284.734810,3.000000
178.000000,2.000000,-644.477731,3.000000
184.000000,2.000000,-451.994186,3.000000
190.000000,2.000000,-613.131666,3.000000
196.000000,2.000000,-321.352338,3.000000
3.000000,3.000000,416.233718,0.000000
9.000000,3.000000,332.979326,0.000000
15.000000,3.000000,-261.212836,0.000000
21.000000,3.000000,-283.500679,0.000000
27.000000,3.000000,-510.908553,0.000000
33.000000,3.000000,-405.544870,0.000000
39.000000,3.000000,-388.541911,0.000000
45.000000,3.000000,-662.601625,0.000000
51.000000,3.000000,-793.242349,0.000000
57.000000,3.000000,-756.821022,0.000000
63.000000,3.000000,-421.478754,0.000000
69.000000,3.000000,22.475374,0.000000
75.000000,3.000000,687.146364,1.000000
81.000000,3.000000,-130.811804,1.000000
87.000000,3.000000,-439.458719,1.000000
93.000000,3.000000,-449.170623,1.000000
99.000000,3.000000,-242.416623,1.000000
105.000000,3.000000,-255.141402,1.000000
111.000000,3.000000,-556.071139,1.000000
117.000000,3.000000,-464.676743,1.000000
123.000000,3.000000,-297.711302,1.000000
129.000000,3.000000,60.115387,1.000000
135.000000,3.000000,-91.264003,2.000000
141.000000,3.000000,-367.652247,2.000000
147.000000,3.000000,-220.705378,2.000000
153.000000,3.000000,-335.376919,2.000000
159.000000,3.000000,-810.550289,2.000000
165.000000,3.000000,-697.441316,2.000000
171.000000,3.000000,-205.399658,2.000000
177.000000,3.000000,-612.211674,3.000000
183.000000,3.000000,-565.001921,3.000000
189.000000,3.000000,-524.349584,3.000000
195.000000,3.000000,-354.329580,3.000000
2.000000,4.000000,441.472760,0.000000
8.000000,4.000000,275.633354,0.000000
14.000000,4.000000,-274.170233,0.000000
20.000000,4.000000,-166.041975,0.000000
26.000000,4.000000,-489.524003,0.000000
32.000000,4.000000,-456.554188,0.000000
38.000000,4.000000,-113.640513,0.000000
44.000000,4.000000,-553.552542,0.000000
50.000000,4.000000,-713.918947,0.000000
56.000000,4.000000,-601.726968,0.000000
